
科学研究費分類コード　ー　ReaD　コード表F

研究分野コード	研究分野名（和文）	研究分野名（英文）
1001	情報学基礎	Fundamental Informatics
1002	ソフトウエア	Software
1003	計算機システム?ネットワーク	Computer System Network
1004	メディア情報学?データベース	Media Informatics/Data Base
1005	知能情報学	Intelligent Informatics
1006	知覚情報処理?知能ロボティクス	Perception Information Processing/Intelligent Robotics
1007	感性情報学?ソフトコンピューティング	Sensitivity Informatics/Soft Computing
1008	情報図書館学?人文社会情報学	Information Library Science/Humanistic Social Informatics
1009	認知科学	Cognitive Science
1010	統計科学	Statistical Science
1011	生体生命情報学	Biological/Living Body Informatics
1101	神経科学一般	General Neuroscience
1102	神経解剖学?神経病理学	Nerve Anatomy and Neuropathology
1103	神経化学?神経薬理学	Nerve Chemistry/Nerve Pharmacology
1104	神経?筋肉生理学	Nerve/Muscular Physiology
1201	実験動物学	Laboratory Animal Studies
1301	医用生体工学?生体材料学	Biomedical Engineering/Biological Material Studies
1302	医用システム	Medical Systems
1303	リハビリテーション科学?福祉工学	Rehabilitation Science/Welfare Engineering
1401	身体教育学	Physical Education
1402	スポーツ科学	Sports Science
1403	応用健康科学	Applied Health Sciences
1501	生活科学一般	General Life Science
1502	食生活学	Eating Habits Studies
1601	科学教育	Science Education
1602	教育工学	Educational Technology
1701	科学社会学?科学技術史	Sociology/History of Science and Technology
1801	文化財科学	Cultural Asset Science
1901	地理学	Geography
2001	環境動態解析	Environmental Dynamic Analysis
2002	環境影響評価?環境政策	Environmental Influence Valuation/Environment Policy
2003	放射線?化学物質影響科学	Radiation/Chemical Substance Influence Science
2004	環境技術?環境材料	Environmental Technology/Environmental Material
2101	ナノ構造科学	Nano Structural Science
2102	ナノ材料?ナノバイオサイエンス	Nano Materials/Nano Bioscience
2103	マイクロ?ナノデバイス	Micro/Nanodevice
2201	社会システム工学?安全システム	Social System Engineering/Safety System
2202	自然災害科学	Natural Disaster Science
2301	基礎ゲノム科学	Basic Genome Science
2302	応用ゲノム科学	Applied Genome Science
2401	生物分子科学	Living Organism Molecular Science
2501	資源保全学	Resource Maintenance Studies
2601	地域研究	Area Studies
2701	ジェンダー	Gender
2801	哲学?倫理学	Philosophy/Ethics
2802	中国哲学	Chinese Philosophy
2803	印度哲学?仏教学	Indian Philosophy/Buddhism Studies
2804	宗教学	Religion Studies
2805	思想史	History of Thought
2806	美学?美術史	Aesthetics/History of Art
2901	日本文学	Japanese Literature
2902	ヨーロッパ語系文学	European Language Literature
2903	各国文学?文学論	Literature of Various Countries/Theories of Literature Criticism
3001	言語学	Linguistics
3002	日本語学	Japanese Studies
3003	英語学	English Studies
